position,type,coverage_pct,count
1,navigation,100,12
2,hero_cta,83,10
3,content_feature,33,4
4,service_categories,17,2
5,news,25,3
6,footer,17,2
7,form_contact,17,2
8,footer,17,2
9,regulation_info,8,1
10,faq_help,8,1
11,footer,8,1
