position,type,coverage_pct,count
1,navigation,100,25
2,hero_cta,92,23
3,content_feature,32,8
4,content_feature,24,6
5,footer,12,3
6,footer,28,7
7,footer,16,4
8,footer,24,6
9,footer,8,2
10,footer,4,1
